Timestamp;PV usage [0:1];buy_el[ecent/kWh];sell_el[ecent/kWh];Lastgang_[kW];Leistungspreis [€/kW]
01.01.2013 00:15;0;20;10;9.5;37.8
01.01.2013 00:30;0;20;10;8.6;
01.01.2013 00:45;0;20;10;5.5;
01.01.2013 01:00;0;20;10;5.5;
01.01.2013 01:15;0;20;10;5.4;
01.01.2013 01:30;0;20;10;5.4;
01.01.2013 01:45;0;20;10;7.2;
01.01.2013 02:00;0;20;10;9.9;
01.01.2013 02:15;0;20;10;6.5;
01.01.2013 02:30;0;20;10;5.2;
01.01.2013 02:45;0;20;10;5.6;
01.01.2013 03:00;0;20;10;5.3;
01.01.2013 03:15;0;20;10;5.7;
01.01.2013 03:30;0;20;10;9.2;
01.01.2013 03:45;0;20;10;9.2;
01.01.2013 04:00;0;20;10;5.4;
01.01.2013 04:15;0;20;10;5.3;
01.01.2013 04:30;0;20;10;6.2;
01.01.2013 04:45;0;20;10;6.2;
01.01.2013 05:00;0;20;10;8.5;
01.01.2013 05:15;0;20;10;10.6;
01.01.2013 05:30;0;20;10;6.7;
01.01.2013 05:45;0;20;10;6.2;
01.01.2013 06:00;0;20;10;6.1;
01.01.2013 06:15;0;20;10;6.1;
01.01.2013 06:30;0;20;10;6.2;
01.01.2013 06:45;0;20;10;8.5;
01.01.2013 07:00;0;20;10;9.9;
01.01.2013 07:15;0;20;10;5.9;
01.01.2013 07:30;0;20;10;5.4;
01.01.2013 07:45;0;20;10;5.6;
01.01.2013 08:00;0;20;10;5.4;
01.01.2013 08:15;0;20;10;6.2;
01.01.2013 08:30;0.013800206;20;10;9.4;
01.01.2013 08:45;0.016065911;20;10;6.5;
01.01.2013 09:00;0.010092688;20;10;5.5;
01.01.2013 09:15;0.017301751;20;10;5.5;
01.01.2013 09:30;0.03831102;20;10;4.4;
01.01.2013 09:45;0.029454171;20;10;7.8;
01.01.2013 10:00;0.024510814;20;10;7.5;
01.01.2013 10:15;0.12523172;20;10;4.5;
01.01.2013 10:30;0.082595263;20;10;4.4;
01.01.2013 10:45;0.102574665;20;10;6.6;
01.01.2013 11:00;0.090628218;20;10;8.9;
01.01.2013 11:15;0.069207003;20;10;6.2;
01.01.2013 11:30;0.081565396;20;10;4.4;
01.01.2013 11:45;0.065293512;20;10;4.2;
01.01.2013 12:00;0.04407827;20;10;5.4;
01.01.2013 12:15;0.057878476;20;10;8.6;
01.01.2013 12:30;0.041194645;20;10;6.6;
01.01.2013 12:45;0.034809475;20;10;4.5;
01.01.2013 13:00;0.047167868;20;10;4.4;
01.01.2013 13:15;0.056024717;20;10;4.4;
01.01.2013 13:30;0.022039135;20;10;6.1;
01.01.2013 13:45;0.014006179;20;10;8.8;
01.01.2013 14:00;0.016271885;20;10;6.1;
