Timestamp;PV usage [0:1];buy_el[ecent/kWh];sell_el[ecent/kWh];Lastgang_[kW];Leistungspreis [€/kW];Gebäude
01.01.2013 00:15;0;20;10;27;37.8;DE0003277613300000000000000253574
01.01.2013 00:30;0;20;10;28.6;;
01.01.2013 00:45;0;20;10;30;;
01.01.2013 01:00;0;20;10;20.8;;
01.01.2013 01:15;0;20;10;20.2;;
01.01.2013 01:30;0;20;10;20.8;;
01.01.2013 01:45;0;20;10;23;;
01.01.2013 02:00;0;20;10;23;;
01.01.2013 02:15;0;20;10;20.6;;
01.01.2013 02:30;0;20;10;21.6;;
01.01.2013 02:45;0;20;10;22;;
01.01.2013 03:00;0;20;10;25.2;;
01.01.2013 03:15;0;20;10;22.4;;
01.01.2013 03:30;0;20;10;20.8;;
01.01.2013 03:45;0;20;10;21.8;;
01.01.2013 04:00;0;20;10;25.4;;
01.01.2013 04:15;0;20;10;26.6;;
01.01.2013 04:30;0;20;10;23.6;;
01.01.2013 04:45;0;20;10;24.2;;
01.01.2013 05:00;0;20;10;25.2;;
01.01.2013 05:15;0;20;10;24;;
01.01.2013 05:30;0;20;10;21.8;;
01.01.2013 05:45;0;20;10;21.6;;
01.01.2013 06:00;0;20;10;24.8;;
01.01.2013 06:15;0;20;10;25.2;;
01.01.2013 06:30;0;20;10;21.8;;
01.01.2013 06:45;0;20;10;22.4;;
01.01.2013 07:00;0;20;10;24;;
01.01.2013 07:15;0;20;10;24.6;;
01.01.2013 07:30;0;20;10;22.2;;
01.01.2013 07:45;0;20;10;21;;
01.01.2013 08:00;0;20;10;21.6;;
01.01.2013 08:15;0;20;10;24.6;;
01.01.2013 08:30;0.013800206;20;10;22.4;;
01.01.2013 08:45;0.016065911;20;10;20;;
01.01.2013 09:00;0.010092688;20;10;19.6;;
01.01.2013 09:15;0.017301751;20;10;20.8;;
01.01.2013 09:30;0.03831102;20;10;22.6;;
01.01.2013 09:45;0.029454171;20;10;22;;
01.01.2013 10:00;0.024510814;20;10;18.8;;
01.01.2013 10:15;0.12523172;20;10;18.6;;
01.01.2013 10:30;0.082595263;20;10;19.2;;
01.01.2013 10:45;0.102574665;20;10;19;;
01.01.2013 11:00;0.090628218;20;10;19.4;;
01.01.2013 11:15;0.069207003;20;10;21.6;;
01.01.2013 11:30;0.081565396;20;10;19;;
01.01.2013 11:45;0.065293512;20;10;18;;
01.01.2013 12:00;0.04407827;20;10;18.4;;
01.01.2013 12:15;0.057878476;20;10;18.2;;
01.01.2013 12:30;0.041194645;20;10;19.6;;
01.01.2013 12:45;0.034809475;20;10;19.6;;
01.01.2013 13:00;0.047167868;20;10;19;;
01.01.2013 13:15;0.056024717;20;10;18.6;;
01.01.2013 13:30;0.022039135;20;10;28;;
01.01.2013 13:45;0.014006179;20;10;48.2;;
01.01.2013 14:00;0.016271885;20;10;47.4;;
01.01.2013 14:15;0.012358393;20;10;46.4;;
01.01.2013 14:30;0.003913491;20;10;46.8;;
01.01.2013 14:45;0.008238929;20;10;51.6;;
01.01.2013 15:00;0;20;10;49.6;;
01.01.2013 15:15;0;20;10;47.6;;
01.01.2013 15:30;0;20;10;48.8;;
01.01.2013 15:45;0;20;10;48.8;;
01.01.2013 16:00;0;20;10;51.4;;
01.01.2013 16:15;0;20;10;49.6;;
01.01.2013 16:30;0;20;10;48.6;;
01.01.2013 16:45;0;20;10;54;;
01.01.2013 17:00;0;20;10;54.8;;
01.01.2013 17:15;0;20;10;55.2;;
01.01.2013 17:30;0;20;10;53.4;;
01.01.2013 17:45;0;20;10;38;;
01.01.2013 18:00;0;20;10;27.8;;
01.01.2013 18:15;0;20;10;24.2;;
01.01.2013 18:30;0;20;10;22.6;;
01.01.2013 18:45;0;20;10;22.4;;
01.01.2013 19:00;0;20;10;25.6;;
01.01.2013 19:15;0;20;10;24;;
01.01.2013 19:30;0;20;10;24.4;;
01.01.2013 19:45;0;20;10;26.8;;
01.01.2013 20:00;0;20;10;24.4;;
01.01.2013 20:15;0;20;10;24;;
01.01.2013 20:30;0;20;10;23.8;;
01.01.2013 20:45;0;20;10;24.2;;
01.01.2013 21:00;0;20;10;24.4;;
01.01.2013 21:15;0;20;10;24.6;;
01.01.2013 21:30;0;20;10;26.2;;
01.01.2013 21:45;0;20;10;28.4;;
01.01.2013 22:00;0;20;10;25.2;;
01.01.2013 22:15;0;20;10;24;;
01.01.2013 22:30;0;20;10;24;;
01.01.2013 22:45;0;20;10;24.8;;
01.01.2013 23:00;0;20;10;24.8;;
01.01.2013 23:15;0;20;10;25.2;;
01.01.2013 23:30;0;20;10;28.2;;
01.01.2013 23:45;0;20;10;26.6;;
02.01.2013 00:00;0;20;10;24.8;;
02.01.2013 00:15;0;20;10;25.2;;
02.01.2013 00:30;0;20;10;25.6;;
02.01.2013 00:45;0;20;10;27.2;;
02.01.2013 01:00;0;20;10;24.8;;
02.01.2013 01:15;0;20;10;21.6;;
02.01.2013 01:30;0;20;10;19.8;;
02.01.2013 01:45;0;20;10;19.4;;
02.01.2013 02:00;0;20;10;19.6;;
02.01.2013 02:15;0;20;10;21.2;;
02.01.2013 02:30;0;20;10;22.4;;
02.01.2013 02:45;0;20;10;19;;
02.01.2013 03:00;0;20;10;19.8;;
02.01.2013 03:15;0;20;10;19.8;;
02.01.2013 03:30;0;20;10;21.2;;
02.01.2013 03:45;0;20;10;23.6;;
02.01.2013 04:00;0;20;10;23;;
02.01.2013 04:15;0;20;10;22.8;;
02.01.2013 04:30;0;20;10;22;;
02.01.2013 04:45;0;20;10;23.8;;
02.01.2013 05:00;0;20;10;23.6;;
02.01.2013 05:15;0;20;10;19.6;;
02.01.2013 05:30;0;20;10;20.2;;
02.01.2013 05:45;0;20;10;20.2;;
02.01.2013 06:00;0;20;10;30.2;;
02.01.2013 06:15;0;20;10;40.6;;
02.01.2013 06:30;0;20;10;37;;
02.01.2013 06:45;0;20;10;36.6;;
02.01.2013 07:00;0;20;10;46.6;;
02.01.2013 07:15;0;20;10;47.6;;
02.01.2013 07:30;0;20;10;45.4;;
02.01.2013 07:45;0.011946447;20;10;49.6;;
02.01.2013 08:00;0.014624099;20;10;46.4;;
02.01.2013 08:15;0.021215242;20;10;46.2;;
02.01.2013 08:30;0.057466529;20;10;46.4;;
02.01.2013 08:45;0.071472709;20;10;45.4;;
02.01.2013 09:00;0.117404737;20;10;47.8;;
02.01.2013 09:15;0.147682801;20;10;46.4;;
02.01.2013 09:30;0.138414006;20;10;40;;
02.01.2013 09:45;0.097631308;20;10;36.8;;
02.01.2013 10:00;0.105046344;20;10;37.2;;
02.01.2013 10:15;0.133058702;20;10;38.4;;
02.01.2013 10:30;0.132440783;20;10;39.8;;
02.01.2013 10:45;0.138619979;20;10;43.4;;
02.01.2013 11:00;0.121936148;20;10;41.2;;
02.01.2013 11:15;0.131410917;20;10;38.2;;
02.01.2013 11:30;0.093511843;20;10;39.8;;
02.01.2013 11:45;0.083213182;20;10;42.2;;
